date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:09	36246/36246	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202020%2023:55:34%20GMT	https://gambolthemes.net/html-items/jobby/jobby-medical/index.html	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/index.html	(from )
21:39:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Mar%202022%2015:39:13%20GMT	https://gambolthemes.net/robots.txt		(from )
21:39:12	18650/18650	---M--	200	added ('OK')	image/png	etag:%22b420582-48da-59c3905354780%22	https://gambolthemes.net/html-items/jobby/jobby-medical/images/fav.png	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/images/fav.png	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:13	15078/15078	---MCZ	200	added ('OK')	text/css	etag:W/%22b42053c-3ae6-59c6eaa5b5080%22	https://gambolthemes.net/html-items/jobby/jobby-medical/css/responsive.css	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/css/responsive.css	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:14	125951/125951	---MCZ	200	added ('OK')	text/css	etag:W/%22b420214-1ebff-59cc977d14ddb%22	https://gambolthemes.net/html-items/jobby/jobby-medical/css/style.css	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/css/style.css	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:15	12257/12257	---MCZ	200	added ('OK')	text/css	etag:W/%22b420539-2fe1-53d6eebb8b180%22	https://gambolthemes.net/html-items/jobby/jobby-medical/css/datepicker.min.css	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/css/datepicker.min.css	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:17	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%22b42077d-2606e-581d322792300%22	https://gambolthemes.net/html-items/jobby/jobby-medical/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/vendor/bootstrap/css/bootstrap.min.css	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:18	55967/55967	---MCZ	200	added ('OK')	text/css	etag:W/%22b420873-da9f-58a8b073bcc80%22	https://gambolthemes.net/html-items/jobby/jobby-medical/vendor/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/vendor/fontawesome-free/css/all.min.css	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:19	4733/4733	---MCZ	200	added ('OK')	text/css	etag:W/%22b4209da-127d-5958b72688b00%22	https://gambolthemes.net/html-items/jobby/jobby-medical/vendor/OwlCarousel/assets/owl.carousel.css	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/vendor/OwlCarousel/assets/owl.carousel.css	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:20	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%22b4209e0-3f5-56a4c2f77ea80%22	https://gambolthemes.net/html-items/jobby/jobby-medical/vendor/OwlCarousel/assets/owl.theme.default.min.css	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/vendor/OwlCarousel/assets/owl.theme.default.min.css	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:22	628518/628518	---MCZ	200	added ('OK')	text/css	etag:W/%22b420c62-99726-598a98c485980%22	https://gambolthemes.net/html-items/jobby/jobby-medical/vendor/semantic/semantic.min.css	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/vendor/semantic/semantic.min.css	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:23	13368/13368	---M--	200	added ('OK')	image/jpeg	etag:%22b4205d6-3438-59487e2e97600%22	https://gambolthemes.net/html-items/jobby/jobby-medical/images/user-dp-1.jpg	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/images/user-dp-1.jpg	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:24	23680/23680	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2000:03:10%20GMT	https://gambolthemes.net/html-items/jobby/jobby-medical/hospital_messages.html	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/hospital_messages.html	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:25	22137/22137	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2000:03:22%20GMT	https://gambolthemes.net/html-items/jobby/jobby-medical/hospital_notifications.html	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/hospital_notifications.html	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:26	930/930	---M--	200	added ('OK')	image/jpeg	etag:%22b420581-3a2-5976fc55e2a00%22	https://gambolthemes.net/html-items/jobby/jobby-medical/images/dp.jpg	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/images/dp.jpg	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:26	29561/29561	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2000:02:24%20GMT	https://gambolthemes.net/html-items/jobby/jobby-medical/hospital_dashboard.html	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/hospital_dashboard.html	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:27	35192/35192	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2000:04:16%20GMT	https://gambolthemes.net/html-items/jobby/jobby-medical/hospital_setting.html	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/hospital_setting.html	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:27	30865/30865	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2000:03:02%20GMT	https://gambolthemes.net/html-items/jobby/jobby-medical/hospital_jobs.html	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/hospital_jobs.html	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:27	33768/33768	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2000:02:00%20GMT	https://gambolthemes.net/html-items/jobby/jobby-medical/hospital_appointments.html	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/hospital_appointments.html	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:28	23640/23640	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2000:02:12%20GMT	https://gambolthemes.net/html-items/jobby/jobby-medical/hospital_bookmarks.html	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/hospital_bookmarks.html	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:28	25377/25377	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2000:03:34%20GMT	https://gambolthemes.net/html-items/jobby/jobby-medical/hospital_payments.html	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/hospital_payments.html	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:28	14874/14874	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2000:09:24%20GMT	https://gambolthemes.net/html-items/jobby/jobby-medical/sign_in.html	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/sign_in.html	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:29	17129/17129	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b4205c3-42e9-59c0ee8a29e80%22	https://gambolthemes.net/html-items/jobby/jobby-medical/images/logo.svg	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/images/logo.svg	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:30	43794/43794	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202020%2023:58:10%20GMT	https://gambolthemes.net/html-items/jobby/jobby-medical/browse_jobs.html	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/browse_jobs.html	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
21:39:30	24508/24508	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2000:04:30%20GMT	https://gambolthemes.net/html-items/jobby/jobby-medical/job_single_view.html	C:/My%20Web%20Sites/jobby/gambolthemes.net/html-items/jobby/jobby-medical/job_single_view.html	(from https://gambolthemes.net/html-items/jobby/jobby-medical/index.html)
